Row ID,Category,Element Type,Content/Text,Module,Current Heading,Book Page,PDF Page,Source Line ID,Source Span ID,Confidence,Font/Size,Author String,Year,Label,Notes
M003309,Heading,Subheading Candidate,Delivering today — performing against strategy,MODULE 6,Qantas BSC Metrics,397,412,P412-L051,,0.68,HelveticaNeueLTStd-Bd (1) / 6.64,,,,
M003310,Heading,Subheading Candidate,Target,MODULE 6,Delivering today — performing against strategy,397,412,P412-L050,,0.68,HelveticaNeueLTStd-Bd (1) / 6.64,,,,
M003311,Heading,Subheading Candidate,Metrics,MODULE 6,Target,397,412,P412-L053,,0.68,HelveticaNeueLTStd-Bd (1) / 6.64,,,,
M003312,Heading,Subheading Candidate,Timeframe,MODULE 6,Metrics,397,412,P412-L054,,0.68,HelveticaNeueLTStd-Bd (1) / 6.64,,,,
M003313,Heading,Subheading Candidate,Progress to date,MODULE 6,Timeframe,397,412,P412-L055,,0.68,HelveticaNeueLTStd-Bd (1) / 6.64,,,,
M003314,Figure,Figure Heading,FIGURE 6.8 Financial,MODULE 6,Progress to date,398,413,P413-L003,,0.94,HelveticaNeueLTStd-Hv (1) / 8.0,,,FIGURE 6.8,
M003315,Heading,Subheading Candidate,Financial,MODULE 6,Progress to date,398,413,P413-L040,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003316,Heading,Subheading Candidate,Objectives Measures,MODULE 6,Financial,398,413,P413-L041,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003317,Heading,Subheading Candidate,Targets,MODULE 6,Objectives Measures,398,413,P413-L042,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003318,Heading,Subheading Candidate,Initiatives,MODULE 6,Targets,398,413,P413-L043,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003319,Heading,Subheading Candidate,Customer,MODULE 6,Initiatives,398,413,P413-L007,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003320,Heading,Subheading Candidate,Internal business process,MODULE 6,Customer,398,413,P413-L028,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003321,Heading,Subheading Candidate,Objectives Measures,MODULE 6,Internal business process,398,413,P413-L029,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003322,Heading,Subheading Candidate,Targets,MODULE 6,Objectives Measures,398,413,P413-L030,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003323,Heading,Subheading Candidate,Initiatives,MODULE 6,Targets,398,413,P413-L031,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003324,Heading,Subheading Candidate,Objectives Measures,MODULE 6,Initiatives,398,413,P413-L008,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003325,Heading,Subheading Candidate,Targets,MODULE 6,Objectives Measures,398,413,P413-L009,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003326,Heading,Subheading Candidate,Initiatives,MODULE 6,Targets,398,413,P413-L010,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003327,Heading,Subheading Candidate,Vision and,MODULE 6,Initiatives,398,413,P413-L005,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003328,Heading,Subheading Candidate,strategy,MODULE 6,Vision and,398,413,P413-L006,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003329,Heading,Subheading Candidate,Learning and growth,MODULE 6,strategy,398,413,P413-L017,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003330,Heading,Subheading Candidate,Objectives Measures,MODULE 6,Learning and growth,398,413,P413-L018,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003331,Heading,Subheading Candidate,Targets,MODULE 6,Objectives Measures,398,413,P413-L019,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003332,Heading,Subheading Candidate,Initiatives,MODULE 6,Targets,398,413,P413-L020,,0.68,HelveticaNeueLTStd-Bd (1) / 6.0,,,,
M003333,Heading,Subheading Candidate,TECHNOLOGY INSIGHT 6.5,MODULE 6,Initiatives,398,413,P413-L054,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003334,Heading,Section Heading,Dashboards,MODULE 6,TECHNOLOGY INSIGHT 6.5,398,413,P413-L055,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003335,Heading,Main Heading,ONGOING MONITORING OF THE ENVIRONMENT,MODULE 6,Dashboards,399,414,P414-L015,,0.9,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M003336,Heading,Subheading Candidate,QUESTION 6.13,MODULE 6,ONGOING MONITORING OF THE ENVIRONMENT,399,414,P414-L047,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003337,Heading,Subheading Candidate,audience and said:,MODULE 6,QUESTION 6.13,399,414,P414-L050,,0.68,HelveticaNeueLTStd-Bd (1) / 8.5,,,,
M003338,Heading,Subheading Candidate,across the country combined with the customer’s unwillingness to buy electric cars due to,MODULE 6,audience and said:,400,415,P415-L001,,0.68,HelveticaNeueLTStd-Bd (1) / 8.0,,,,
M003339,Heading,Subheading Candidate,"reluctance to change, we have had no choice but to delay the introduction. Instead, we are",MODULE 6,across the country combined with the customer’s unwillingness to buy electric cars due to,400,415,P415-L002,,0.68,HelveticaNeueLTStd-Bd (1) / 8.0,,,,
M003340,Heading,Subheading Candidate,focusing on rolling out new models of hybrid cars. Research has shown that customers see,MODULE 6,"reluctance to change, we have had no choice but to delay the introduction. Instead, we are",400,415,P415-L003,,0.68,HelveticaNeueLTStd-Bd (1) / 8.0,,,,
M003341,Heading,Subheading Candidate,External factor,MODULE 6,focusing on rolling out new models of hybrid cars. Research has shown that customers see,400,415,P415-L014,,0.68,HelveticaNeueLTStd-Bd (1) / 8.0,,,,
M003342,Heading,Subheading Candidate,Examination,MODULE 6,External factor,400,415,P415-L015,,0.68,HelveticaNeueLTStd-Bd (1) / 8.0,,,,
M003343,Heading,Main Heading,REWARD SYSTEMS,MODULE 6,Examination,400,415,P415-L020,,0.9,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M003344,Heading,Subheading Candidate,EXAMPLE 6.11,MODULE 6,REWARD SYSTEMS,401,416,P416-L011,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003345,Heading,Section Heading,APRA Proposes Stronger Requirements on Remuneration to Enhance,MODULE 6,EXAMPLE 6.11,401,416,P416-L012,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003346,Heading,Section Heading,"Conduct, Risk Management and Accountability",MODULE 6,APRA Proposes Stronger Requirements on Remuneration to Enhance,401,416,P416-L013,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003347,Heading,Subheading Candidate,Source:,MODULE 6,"Conduct, Risk Management and Accountability",401,416,P416-L051,,0.68,TimesLTStd-BoldItalic (1) / 8.0,,,,
M003348,Heading,Subheading Candidate,QUESTION 6.14,MODULE 6,Source:,401,416,P416-L058,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003349,Heading,Subheading Candidate,KEY POINTS,MODULE 6,QUESTION 6.14,402,417,P417-L003,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003350,Heading,Subheading Candidate,"6.1Explain the key concepts, components and frameworks applicable to implementation of",MODULE 6,KEY POINTS,402,417,P417-L004,,0.68,HelveticaNeueLTStd-Hv (1); HelveticaNeueLTStd-Bd (1) / 8.5,,,,
M003351,Heading,Main/Module Heading,6.6 FURTHER IMPLICATIONS FOR LEADERSHIP,MODULE 6,"6.1Explain the key concepts, components and frameworks applicable to implementation of",402,417,P417-L026,,0.95,HelveticaNeueLTStd-Roman (1) / 17.0,,,,
M003352,Heading,Main/Module Heading,AND MANAGEMENT,MODULE 6,6.6 FURTHER IMPLICATIONS FOR LEADERSHIP,402,417,P417-L027,,0.95,HelveticaNeueLTStd-Roman (1) / 17.0,,,,
M003353,Citation,Author-Year,Evans (2013),MODULE 6,AND MANAGEMENT,402,417,P417-L031,,0.78,TimesLTStd-Roman (1) / 10.0,Evans,2013,,
M003354,Table,Table Heading,TABLE 6.4 Reasons implementation can fail,MODULE 6,AND MANAGEMENT,402,417,P417-L034,,0.94,HelveticaNeueLTStd-Hv (1) / 8.0,,,TABLE 6.4,
M003355,Heading,Subheading Candidate,Reasons implementation can fail,MODULE 6,AND MANAGEMENT,402,417,P417-L035,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003356,Heading,Subheading Candidate,Reason,MODULE 6,Reasons implementation can fail,402,417,P417-L036,,0.68,HelveticaNeueLTStd-Bd (1) / 8.0,,,,
M003357,Heading,Subheading Candidate,Explanation,MODULE 6,Reason,402,417,P417-L037,,0.68,HelveticaNeueLTStd-Bd (1) / 8.0,,,,
M003358,Heading,Main Heading,COMMON PITFALLS IN STRATEGY IMPLEMENTATION,MODULE 6,Explanation,403,418,P418-L029,,0.9,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M003359,Citation,Author-Year,Evans (2013),MODULE 6,COMMON PITFALLS IN STRATEGY IMPLEMENTATION,403,418,P418-L030,,0.78,TimesLTStd-Roman (1) / 10.0,Evans,2013,,
M003360,Heading,Section Heading,Transforming Strategic Thinking into Action,MODULE 6,COMMON PITFALLS IN STRATEGY IMPLEMENTATION,403,418,P418-L035,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003361,Citation,Author-Year,Trkman (2010),MODULE 6,Transforming Strategic Thinking into Action,404,419,P419-L003,,0.78,TimesLTStd-Roman (1) / 10.0,Trkman,2010,,
M003362,Heading,Section Heading,Paralysis by Analysis,MODULE 6,Transforming Strategic Thinking into Action,404,419,P419-L014,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003363,Citation,Author-Year,Hrebiniak (2006),MODULE 6,Paralysis by Analysis,404,419,P419-L017,,0.78,TimesLTStd-Roman (1) / 10.0,Hrebiniak,2006,,
M003364,Heading,Section Heading,Resistance,MODULE 6,Paralysis by Analysis,404,419,P419-L048,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003365,Figure,Figure Heading,FIGURE 6.9,MODULE 6,Resistance,405,420,P420-L024,,0.94,HelveticaNeueLTStd-Hv (1) / 8.0,,,FIGURE 6.9,
M003366,Heading,Section Heading,Managing the Politics of Strategy Implementation,MODULE 6,Resistance,405,420,P420-L047,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003367,Heading,Subheading Candidate,Politics and Power Defined,MODULE 6,Managing the Politics of Strategy Implementation,406,421,P421-L019,,0.68,HelveticaNeueLTStd-Bd (1) / 8.5,,,,
M003368,Heading,Subheading Candidate,The Role of Managers in Dealing With Politics,MODULE 6,Politics and Power Defined,406,421,P421-L041,,0.68,HelveticaNeueLTStd-Bd (1) / 8.5,,,,
M003369,Heading,Section Heading,Environmental Uncertainty,MODULE 6,The Role of Managers in Dealing With Politics,407,422,P422-L019,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003370,Heading,Subheading Candidate,EXAMPLE 6.12,MODULE 6,Environmental Uncertainty,407,422,P422-L046,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003371,Heading,Section Heading,Wealth Management Implementation a Failure for NAB,MODULE 6,EXAMPLE 6.12,407,422,P422-L047,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003372,Heading,Subheading Candidate,QUESTION 6.15,MODULE 6,Wealth Management Implementation a Failure for NAB,408,423,P423-L019,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003373,Heading,Subheading Candidate,pitfalls of strategy of implementation:,MODULE 6,QUESTION 6.15,408,423,P423-L021,,0.68,HelveticaNeueLTStd-Bd (1) / 8.5,,,,
M003374,Heading,Subheading Candidate,(a)transforming strategic thinking into action,MODULE 6,pitfalls of strategy of implementation:,408,423,P423-L022,,0.68,HelveticaNeueLTStd-Hv (1); HelveticaNeueLTStd-Bd (1) / 8.5,,,,
M003375,Heading,Main Heading,THE ROLE OF CPAs IN STRATEGY IMPLEMENTATION,MODULE 6,(a)transforming strategic thinking into action,408,423,P423-L024,,0.9,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M003376,Heading,Section Heading,CPAs and Strategy,MODULE 6,THE ROLE OF CPAs IN STRATEGY IMPLEMENTATION,408,423,P423-L037,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003377,Heading,Section Heading,CPAs and Leadership,MODULE 6,CPAs and Strategy,409,424,P424-L043,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003378,Heading,Section Heading,CPAs and Managing the Performance of the Organisation,MODULE 6,CPAs and Leadership,410,425,P425-L009,,0.85,HelveticaNeueLTStd-Hv (1) / 11.0,,,,
M003379,Citation,Author-Year,Calvert and Kurji (2012),MODULE 6,CPAs and Managing the Performance of the Organisation,410,425,P425-L012,,0.78,TimesLTStd-Roman (1) / 10.0,Calvert and Kurji,2012,,
M003380,Citation,Parenthetical,"(Elrod, 2012)",MODULE 6,CPAs and Managing the Performance of the Organisation,410,425,P425-L026,,0.78,TimesLTStd-Roman (1) / 10.0,Elrod,2012,,
M003381,Heading,Subheading Candidate,Key questions for finance professionals to consider and answer regarding strategy,MODULE 6,CPAs and Managing the Performance of the Organisation,411,426,P426-L002,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003382,Table,Table Heading,TABLE 6.5 implementation,MODULE 6,Key questions for finance professionals to consider and answer regarding strategy,411,426,P426-L001,,0.94,HelveticaNeueLTStd-Hv (1) / 8.0,,,TABLE 6.5,
M003383,Heading,Subheading Candidate,implementation,MODULE 6,Key questions for finance professionals to consider and answer regarding strategy,411,426,P426-L003,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003384,Heading,Subheading Candidate,Concepts/models/approaches that can be used to,MODULE 6,implementation,411,426,P426-L005,,0.68,HelveticaNeueLTStd-Bd (1) / 8.0,,,,
M003385,Heading,Subheading Candidate,Key questions,MODULE 6,Concepts/models/approaches that can be used to,411,426,P426-L004,,0.68,HelveticaNeueLTStd-Bd (1) / 8.0,,,,
M003386,Heading,Subheading Candidate,answer the key questions,MODULE 6,Key questions,411,426,P426-L006,,0.68,HelveticaNeueLTStd-Bd (1) / 8.0,,,,
M003387,Heading,Main Heading,A FINAL POINT,MODULE 6,answer the key questions,411,426,P426-L022,,0.9,HelveticaNeueLTStd-Bd (1) / 14.0,,,,
M003388,Citation,Author-Year,Vermuelen (2017),MODULE 6,A FINAL POINT,411,426,P426-L023,,0.78,TimesLTStd-Roman (1) / 10.0,Vermuelen,2017,,
M003389,Heading,Subheading Candidate,KEY POINTS,MODULE 6,A FINAL POINT,412,427,P427-L001,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M003390,Heading,Section Heading,6.4 Appraise how the roles of management and leadership drive the implementation of the,MODULE 6,KEY POINTS,412,427,P427-L016,,0.9,HelveticaNeueLTStd-Bd (1) / 8.5,,,,
M003391,Heading,Main Heading,REVIEW,MODULE 6,6.4 Appraise how the roles of management and leadership drive the implementation of the,413,428,P428-L001,,0.9,HelveticaNeueLTStd-Roman (1) / 15.0,,,,
M003392,Heading,Module Heading,Strategy implementation is the final stage in the model of the strategy process introduced in module 1 and,MODULE 6,REVIEW,413,428,P428-L002,,0.96,TimesLTStd-Roman (1) / 10.0,,,,
M003393,Heading,Main Heading,REFERENCES,MODULE 6,Strategy implementation is the final stage in the model of the strategy process introduced in module 1 and,413,428,P428-L038,,0.9,HelveticaNeueLTStd-Roman (1) / 15.0,,,,
M003394,Reference Author,Reference-like Author String,ADMA,MODULE 6,REFERENCES,413,428,P428-L039,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,ADMA,2013,,
M003395,Reference Author,Reference-like Author String,Aileron,MODULE 6,REFERENCES,413,428,P428-L041,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Aileron,2011,,
M003396,Reference Author,Reference-like Author String,Anand,MODULE 6,REFERENCES,413,428,P428-L043,,0.62,TimesLTStd-Roman (1) / 8.0,Anand,2017,,
M003397,Reference Author,Reference-like Author String,Anon.,MODULE 6,REFERENCES,413,428,P428-L045,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Anon.,2019,,
M003398,Reference Author,Reference-like Author String,Applications,MODULE 6,REFERENCES,413,428,P428-L046,,0.62,TimesLTStd-Roman (1) / 8.0,Applications,2019,,
M003399,Reference Author,Reference-like Author String,Applebaum,MODULE 6,REFERENCES,413,428,P428-L047,,0.62,TimesLTStd-Roman (1); TimesLTStd-Italic (1) / 8.0,Applebaum,2013,,
M003400,Reference Author,Reference-like Author String,Atkinson,MODULE 6,REFERENCES,413,428,P428-L049,,0.62,TimesLTStd-Roman (3); TimesLTStd-Italic (2) / 8.0,Atkinson,2006,,
M003401,Reference Author,Reference-like Author String,Atluri,MODULE 6,REFERENCES,413,428,P428-L050,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Atluri,2012,,
M003402,Reference Author,Reference-like Author String,Attaran,MODULE 6,REFERENCES,413,428,P428-L052,,0.62,TimesLTStd-Roman (1); TimesLTStd-Italic (1) / 8.0,Attaran,2018,,
M003403,Reference Author,Reference-like Author String,Austen,MODULE 6,REFERENCES,413,428,P428-L054,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Austen,2011,,
M003404,Reference Author,Reference-like Author String,Bendigo and Adelaide,MODULE 6,REFERENCES,413,428,P428-L056,,0.62,TimesLTStd-Roman (1) / 8.0,Bendigo and Adelaide,2014,,
M003405,Reference Author,Reference-like Author String,BMP,MODULE 6,REFERENCES,414,429,P429-L001,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,BMP,2011,,
M003406,Reference Author,Reference-like Author String,"Bremser, WG & Wagner, WP",MODULE 6,REFERENCES,414,429,P429-L003,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Bremser, WG & Wagner, WP",2013,,
M003407,Reference Author,Reference-like Author String,Brown,MODULE 6,REFERENCES,414,429,P429-L004,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Brown,2010,,
M003408,Reference Author,Reference-like Author String,Brustein,MODULE 6,REFERENCES,414,429,P429-L005,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Brustein,2016,,
M003409,Reference Author,Reference-like Author String,Bryson,MODULE 6,REFERENCES,414,429,P429-L007,,0.62,TimesLTStd-Roman (1); TimesLTStd-Italic (1) / 8.0,Bryson,2011,,
M003410,Reference Author,Reference-like Author String,Cadwallader,MODULE 6,REFERENCES,414,429,P429-L009,,0.62,TimesLTStd-Roman (1) / 8.0,Cadwallader,2010,,
M003411,Reference Author,Reference-like Author String,Calvert,MODULE 6,REFERENCES,414,429,P429-L011,,0.62,TimesLTStd-Roman (1); TimesLTStd-Italic (1) / 8.0,Calvert,2012,,
M003412,Reference Author,Reference-like Author String,Caudron,MODULE 6,REFERENCES,414,429,P429-L013,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Caudron,2014,,
M003413,Reference Author,Reference-like Author String,Cheng,MODULE 6,REFERENCES,414,429,P429-L015,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Cheng,2012,,
M003414,Reference Author,Reference-like Author String,Clark,MODULE 6,REFERENCES,414,429,P429-L017,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Clark,2013,,
M003415,Reference Author,Reference-like Author String,Cuganesan,MODULE 6,REFERENCES,414,429,P429-L019,,0.62,TimesLTStd-Roman (1) / 8.0,Cuganesan,2012,,
M003416,Reference Author,Reference-like Author String,Davila,MODULE 6,REFERENCES,414,429,P429-L023,,0.62,TimesLTStd-Roman (1) / 8.0,Davila,2017,,
M003417,Reference Author,Reference-like Author String,Dhawan,MODULE 6,REFERENCES,414,429,P429-L026,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Dhawan,2018,,
M003418,Reference Author,Reference-like Author String,"Doz, YL & Kosonen",MODULE 6,REFERENCES,414,429,P429-L028,,0.62,TimesLTStd-Roman (1); TimesLTStd-Italic (1) / 8.0,"Doz, YL & Kosonen",2010,,
M003419,Reference Author,Reference-like Author String,"Eisenhardt, KM, Kahwajy, JL & Bourgeois, LJ",MODULE 6,REFERENCES,414,429,P429-L030,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Eisenhardt, KM, Kahwajy, JL & Bourgeois, LJ",1997,,
M003420,Reference Author,Reference-like Author String,"Elrod, DJ",MODULE 6,REFERENCES,414,429,P429-L032,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Elrod, DJ",2012,,
M003421,Reference Author,Reference-like Author String,Empired,MODULE 6,REFERENCES,414,429,P429-L033,,0.62,TimesLTStd-Roman (1) / 8.0,Empired,2012,,
M003422,Reference Author,Reference-like Author String,Evans,MODULE 6,REFERENCES,414,429,P429-L035,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Evans,2013,,
M003423,Reference Author,Reference-like Author String,FedEx,MODULE 6,REFERENCES,414,429,P429-L037,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,FedEx,2014,,
M003424,Reference Author,Reference-like Author String,FedEx,MODULE 6,REFERENCES,414,429,P429-L038,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,FedEx,2020,,
M003425,Reference Author,Reference-like Author String,Fitzsimmons,MODULE 6,REFERENCES,414,429,P429-L039,,0.62,TimesLTStd-Roman (1) / 8.0,Fitzsimmons,2015,,
M003426,Reference Author,Reference-like Author String,"Fleisher, CS & Bensoussan, BE",MODULE 6,REFERENCES,414,429,P429-L041,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Fleisher, CS & Bensoussan, BE",2007,,
M003427,Reference Author,Reference-like Author String,Gerstner,MODULE 6,REFERENCES,414,429,P429-L043,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Gerstner,2002,,
M003428,Reference Author,Reference-like Author String,Giorgi,MODULE 6,REFERENCES,414,429,P429-L044,,0.62,TimesLTStd-Roman (1) / 8.0,Giorgi,2015,,
M003429,Reference Author,Reference-like Author String,Grant,MODULE 6,REFERENCES,414,429,P429-L046,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Grant,2010,,
M003430,Reference Author,Reference-like Author String,"Greve, HR",MODULE 6,REFERENCES,414,429,P429-L047,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Greve, HR",2010,,
M003431,Reference Author,Reference-like Author String,Hanes,MODULE 6,REFERENCES,414,429,P429-L049,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Hanes,2011,,
M003432,Reference Author,Reference-like Author String,"Heathfield, SM",MODULE 6,REFERENCES,414,429,P429-L051,,0.62,TimesLTStd-Roman (1) / 8.0,"Heathfield, SM",2016,,
M003433,Reference Author,Reference-like Author String,"Hill, NS and Bartol",MODULE 6,REFERENCES,414,429,P429-L053,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Hill, NS and Bartol",2018,,
M003434,Reference Author,Reference-like Author String,"Hitt, MA, Jackson, SE, Carmonda",MODULE 6,REFERENCES,414,429,P429-L055,,0.62,TimesLTStd-Roman (1) / 8.0,"Hitt, MA, Jackson, SE, Carmonda",2017a,,
M003435,Reference Author,Reference-like Author String,"Hitt, MA, Jackson, SE, Carmonda",MODULE 6,REFERENCES,414,429,P429-L058,,0.62,TimesLTStd-Roman (1) / 8.0,"Hitt, MA, Jackson, SE, Carmonda",2017b,,
M003436,Reference Author,Reference-like Author String,"Hrebiniak, LG",MODULE 6,REFERENCES,414,429,P429-L061,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Hrebiniak, LG",2006,,
M003437,Reference Author,Reference-like Author String,Hubbard,MODULE 6,REFERENCES,414,429,P429-L062,,0.62,TimesLTStd-Roman (1); TimesLTStd-Italic (1) / 8.0,Hubbard,2009,,
M003438,Reference Author,Reference-like Author String,Huff,MODULE 6,REFERENCES,414,429,P429-L064,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Huff,2009,,
M003439,Reference Author,Reference-like Author String,Jean-Baptiste,MODULE 6,REFERENCES,414,429,P429-L066,,0.62,TimesLTStd-Roman (1); TimesLTStd-Italic (1) / 8.0,Jean-Baptiste,2009,,
M003440,Reference Author,Reference-like Author String,"Kaplan, RS & Norton, DP",MODULE 6,REFERENCES,414,429,P429-L068,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Kaplan, RS & Norton, DP",1996,,
M003441,Reference Author,Reference-like Author String,"Kaplan, RS & Norton, DP",MODULE 6,REFERENCES,415,430,P430-L001,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Kaplan, RS & Norton, DP",2005,,
M003442,Reference Author,Reference-like Author String,"Kaplan, RS & Norton, DP",MODULE 6,REFERENCES,415,430,P430-L002,,0.62,TimesLTStd-Roman (1); TimesLTStd-Italic (1) / 8.0,"Kaplan, RS & Norton, DP",2006,,
M003443,Reference Author,Reference-like Author String,"Kessler, SR, Nixon, AE & Nord, WR",MODULE 6,REFERENCES,415,430,P430-L004,,0.62,TimesLTStd-Roman (1) / 8.0,"Kessler, SR, Nixon, AE & Nord, WR",2016,,
M003444,Reference Author,Reference-like Author String,"Kim, SK & Min",MODULE 6,REFERENCES,415,430,P430-L006,,0.62,TimesLTStd-Roman (1) / 8.0,"Kim, SK & Min",2015,,
M003445,Reference Author,Reference-like Author String,"Kotter, JP",MODULE 6,REFERENCES,415,430,P430-L008,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Kotter, JP",1995,,
M003446,Reference Author,Reference-like Author String,"Kotter, JP",MODULE 6,REFERENCES,415,430,P430-L009,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Kotter, JP",1996,,
M003447,Reference Author,Reference-like Author String,"Kranacher, M-J",MODULE 6,REFERENCES,415,430,P430-L010,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,"Kranacher, M-J",2010,,
M003448,Reference Author,Reference-like Author String,Lawler,MODULE 6,REFERENCES,415,430,P430-L011,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Lawler,2012,,
M003449,Reference Author,Reference-like Author String,Malotra,MODULE 6,REFERENCES,415,430,P430-L014,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Malotra,2007,,
M003450,Reference Author,Reference-like Author String,Marsden,MODULE 6,REFERENCES,415,430,P430-L015,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,Marsden,2015,,
M003451,Reference Author,Reference-like Author String,McAfee,MODULE 6,REFERENCES,415,430,P430-L017,,0.62,TimesLTStd-Roman (2); TimesLTStd-Italic (1) / 8.0,McAfee,2012,,
M003452,Reference Author,Reference-like Author String,McAleer,MODULE 6,REFERENCES,415,430,P430-L019,,0.62,TimesLTStd-Roman (1) / 8.0,McAleer,2010,,
M003453,Reference Author,Reference-like Author String,MindTools.com,MODULE 6,REFERENCES,415,430,P430-L021,,0.62,TimesLTStd-Roman (1) / 8.0,MindTools.com,2014,,
